provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (%),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
https://devnet.zama.ai,113,14,156.42,44.22,41.67,0.86,5.02,0xeb48c1e48a8694aa1b55dfbb7ba7e1f941e9a119c3f6ea703ec75b5afbe8badd,1187784,1187495
https://devnet.zama.ai,114,14,156.32,44.22,30.00,0.86,7.16,0x638330bef543e3584c8b2229a861f32d7f9e118deaa81267a15f9959bf68a029,1187685,1187396
https://devnet.zama.ai,115,14,156.27,44.22,20.00,0.85,4.20,0xc66e4a3dd0758edbb20979cdbd925724c9480e8c9a304a32e5cc6dcc2cabd3bd,1187817,1187528
https://devnet.zama.ai,116,16,156.10,44.22,38.46,1.61,7.68,0x16fbcba5237241a577fad8665406f1da152a12c2491026f9387c85cebe61ccb9,1187697,1187408
https://devnet.zama.ai,117,13,156.09,44.22,30.00,0.87,3.99,0xd0a7a31d63821d74e38db2082264443793fd349ef8ec55ef97a0ae2035bf8069,1187763,1187474
https://devnet.zama.ai,118,15,156.18,44.22,33.33,0.87,9.20,0x5ad890bbc7b772c99c241369f0c6f732199a63aceb707212efca39858bcc4355,1187799,1187510
https://devnet.zama.ai,119,13,156.20,44.22,20.00,0.86,7.78,0x0bea63acd1c97788d53048e9fff7a490879568a0df87483bf97ada075bc0f50c,1187769,1187480
https://devnet.zama.ai,120,22,156.50,44.22,46.67,1.51,9.32,0xd34782bd9ca90b2d8c46cb8029a57c6649e93362fa5785c88c842a6a40d3f10b,1187796,1187507
https://devnet.zama.ai,121,14,156.30,44.22,25.00,0.85,8.29,0x9269bea005c970bc1df2d4d393227af11aea0309d6427fba0074b08aaae21fd9,1187751,1187462
https://devnet.zama.ai,122,17,156.19,44.22,42.86,1.36,8.09,0x9b5f69919413c82e8c99c344ccdd6027fd10a04cd590de4807673cdde02ae309,1187751,1187462
https://devnet.zama.ai,123,16,156.23,44.22,58.33,1.65,3.89,0xd8ee3b9d77240d88e95e57a314262740b7cb34b0aa3ca89c917d6c5584b9a245,1187790,1187501
https://devnet.zama.ai,124,22,156.13,44.22,38.89,1.28,3.65,0x82250dd3b79ce0dd260e9142ec265dd5029af94360c29f5c0fd90323d69bbbe2,1187838,1187549
https://devnet.zama.ai,125,14,156.18,44.22,22.22,0.87,3.69,0x176f197b908674d13eb7d4748409fff346186ec4e8d3932d025a2bb62ff32d8a,1187769,1187480
https://devnet.zama.ai,126,15,156.10,44.22,33.33,0.87,8.27,0x2449dd75222cb94bc63bf640be4511dfcbdbc5ae9f5a84590065982381366c48,1187742,1187453
https://devnet.zama.ai,127,16,156.01,44.22,33.33,1.41,2.97,0x3d236265dd5610d1c2a1a1142661a713aca296447a7d88525be3edab7c76d50f,1187715,1187426
https://devnet.zama.ai,128,25,156.13,44.22,52.17,1.47,4.10,0xf414ddd986991d6254a15a924a35885ac750d40b2f9892a9a8cc1de3db9018cd,1187715,1187426
https://devnet.zama.ai,129,15,156.13,44.22,38.46,0.86,8.08,0xcae2cac0ef8f0e8b59060bb80aea5802c1b7a367048dcbb0f1b707b856ba2c7f,1187784,1187495
https://devnet.zama.ai,130,18,156.12,44.22,40.00,1.56,3.85,0x6a341bb0b5a77c75e0a4f13d0a0bc2c33f29a2100c82baf8abf75c6ac5ebd6b4,1187784,1187495
https://devnet.zama.ai,131,23,156.24,44.22,38.10,1.43,3.65,0xff9aa9ae42c4d9c3f22152943762cc51b5b9b8786758e992141c8da3173d1f80,1187703,1187414
https://devnet.zama.ai,132,20,156.19,44.22,41.18,1.43,3.75,0x5eae446b5aef0df9eda774fcb126669a8ae8716a98b39e9fc2fa1d467fd16b3f,1187778,1187489
https://devnet.zama.ai,133,17,156.21,44.22,16.67,0.86,3.75,0xd2468c7fbab895fd1433c876a4a0ddb3fcedeec4c202d3c6c70ad62344b92610,1187772,1187483
https://devnet.zama.ai,134,14,156.19,44.22,8.33,0.86,3.79,0xc846a80896d9879ad6fcc94fa8e3e3df173ee40cfc3551b9c3ef0348f894d0c9,1187802,1187513
https://devnet.zama.ai,135,13,156.19,44.22,30.00,0.86,8.08,0x40d5deb7dffb910195b97669915e658a2841f9cc326cb3dee6c9d957ea6a3c2d,1187676,1187387
https://devnet.zama.ai,136,20,156.26,44.22,43.75,1.34,8.35,0x6e67cec7c2c01d42d99f1aa2846044a92870c16563c1c9252c3dd994392957f5,1187769,1187480
https://devnet.zama.ai,137,14,156.21,44.22,38.46,0.85,4.16,0x0c0bfba7fe52eaa9e5ebc2f0e3c95ffd5901929faafba88e6938523d5a354350,1187694,1187405
https://devnet.zama.ai,138,13,155.94,44.22,18.18,0.85,8.14,0x5000b9f9a1040240bd7246318122bd6c653d7d4af0f4322e72bf01895fccc53a,1187721,1187432
https://devnet.zama.ai,139,14,156.18,44.22,22.22,0.85,9.13,0x2f8db78b972a185caad1d991210178e86b69ed80289dffb8bef0598171806cab,1187739,1187450
https://devnet.zama.ai,140,22,155.95,44.22,50.00,1.27,7.83,0x635c9b5ef5d07a47b902cd7678fdbf9ec039f12924cec14763504139e1df4091,1187703,1187414
https://devnet.zama.ai,141,14,156.24,44.22,11.11,0.86,3.89,0xa3c389561cc212a069d3ff97ce24241ac5409e3790f4870e21d346c880ec9907,1187781,1187492
https://devnet.zama.ai,142,17,155.98,44.22,50.00,1.42,8.09,0xafdfb867418e9ab2dd2f27e3c06bb9b210763a85fdfd827acdcbea43d32802b9,1187763,1187474
https://devnet.zama.ai,143,17,156.05,44.22,42.86,1.88,3.89,0x787a89dc61d355b7b4bea2153cb4cdd79fba64eca5ab82adfc343e954f9ad8b9,1187730,1187441
https://devnet.zama.ai,144,13,156.26,44.22,27.27,0.85,8.06,0x063da7e806ac3e364d97dac662e4f081bb9e46e85c0c958804580b48875ea63b,1187727,1187438
https://devnet.zama.ai,145,13,156.16,44.22,20.00,0.85,4.09,0x01f2c876f8e7721eeb11ffc01153442f3eaba187471bf3ad7ac36e0cc170aff8,1187724,1187435
https://devnet.zama.ai,146,16,156.05,44.22,33.33,1.57,8.28,0x873012ce65cee22dba7e0663b600dc84d3381da3657ae80dcf31aff5c2377ec4,1187736,1187447
https://devnet.zama.ai,147,13,156.08,44.22,20.00,0.87,3.96,0x0e59d8b6b48d992c83a73846dc8b865673d884c951e38dee8068770f0ebc918b,1187793,1187504
https://devnet.zama.ai,148,13,156.28,44.22,30.00,0.87,7.76,0xf20cde904ef188a8aada2891268204aa39ce0ebb7c564eda4aee1c580d52c3ab,1187715,1187426
https://devnet.zama.ai,149,13,156.27,44.22,18.18,0.86,3.89,0x4d0c3869a9b69a90d4ac035fe62312777aa3bdf98e5661b0dd7a6d0d8ae58235,1187751,1187462
https://devnet.zama.ai,150,19,156.23,44.22,38.46,1.63,8.29,0x56f511c42133fabbf35ff7d5f28ff7e14208eeb7e1b545b8c7d2cc75e0697190,1187706,1187417
https://devnet.zama.ai,151,12,156.09,44.22,11.11,0.87,7.96,0x711eec12fb9275c821077c9638417efa4935c3b8faeb40768406428804447c92,1187790,1187501
