provider,Row Number,Encryption Time (ms),Encrypted Data Size (KB),Transaction Size (KB),CPU Usage (ms),Memory Usage (MB),Transaction Confirmation Time (s),Transaction Hash,Estimated Gas,Actual Gas Used
http://localhost:8545,139,18,156.11,44.22,21.03,0.87,7.11,0x4977fe9a2c2a12ee092a964c169543edf44b22d681eb8050f081e04ab3f255bd,2740740,2740459
http://localhost:8545,140,16,156.41,44.22,15.96,0.86,9.15,0xbe41c2cf56a3be7f35b69ae8cf4f53186db3e3213fc270c720fef523779a1c77,2740785,2740504
http://localhost:8545,141,14,156.19,44.22,18.17,0.87,8.12,0xd7410c85e5cfb979b3a44fcb0d4596e42b190c187fcb509ffc44f97e367706b3,2740689,2740408
http://localhost:8545,142,19,156.13,44.22,51.38,1.54,7.13,0x2402b7e0cb52e16837b5a49edecfc140607b79dc4d227dac7d82b8e27d6dcd5d,2740788,2740507
http://localhost:8545,143,19,156.10,44.22,19.44,0.86,10.15,0xfa135898aa7f1c3ac74af4f18e5aebbc798cd9cff575b47a803829569694a9d7,2740722,2740441
http://localhost:8545,144,17,156.17,44.22,17.53,0.87,8.12,0x12c738452016958d92f24a3c4ce8c3d4764c2d0819c92d701e9cc4207ba97c4d,2740767,2740486
http://localhost:8545,145,16,156.17,44.22,17.89,0.87,7.15,0x3ed0e35d1428ab00f619737c21add7da31351d9467f53b300145a4ce09d95353,2740758,2740477
http://localhost:8545,146,20,156.04,44.22,53.95,1.50,9.13,0x58ee456339128c98016b37145858355648ba441cfb433da008ac73ef7eda36a0,2740776,2740495
http://localhost:8545,147,15,156.17,44.22,15.79,0.87,7.17,0x5a526d967fd0b531f0cb5b006852b8cb58b73cb8d22a4e3448e0f3e8ada59c3a,2740746,2740465
http://localhost:8545,148,20,156.06,44.22,20.13,0.86,9.13,0x28c68fae951f7c1e5a50ecdb1bb38c769fc7cf4707dc2aebfe1f171617c1d3b3,2740734,2740453
http://localhost:8545,149,18,156.16,44.22,20.55,0.87,8.14,0x5408b36cc7d24d92f6452adb761e2724a6a4526942e385ea2a3921a5f0e2e4e4,2740734,2740453
http://localhost:8545,150,33,156.17,44.22,72.54,1.51,7.12,0x07836a26729e5790ccf2515be38f71e44e4d7292d34ef79ea519867c6a332bc8,2740734,2740453
http://localhost:8545,151,17,156.02,44.22,16.86,0.87,9.13,0xba218ff8c16bb04b1851a2b06ff4b2044347ec26fa9aeb9fd6c7d46dec90f143,2740764,2740483
http://localhost:8545,152,21,156.09,44.22,21.85,0.87,8.13,0xb7e1fbdd605727281e54ea243b23d854f35722ae15b3a919699f5e4d96f7f781,2740740,2740459
http://localhost:8545,153,15,156.03,44.22,14.48,0.86,8.11,0x5b70293977bbb790261d41b09684d0750dfb0fcd5a8186f3f9909aea8d9d5413,2740683,2740402
http://localhost:8545,154,24,156.09,44.22,60.92,1.54,8.12,0xa0ebdd06c553e22c169c793a5bda5b1768f4026a5b5784d314c4d5333162ec1b,2740719,2740438
http://localhost:8545,155,14,156.30,44.22,14.78,0.87,9.13,0x159a93804bd1a0c38b694d8590261f0b4c37617876f223aba8670fbd5980d7c8,2740728,2740447
http://localhost:8545,156,20,156.10,44.22,20.82,0.87,7.12,0x71d704921f4e3503d09aa1044d14318f091ec9dc09f6ab89deccd0d2a15f1e96,2740773,2740492
