QoS_type,QoS_type_EncryptionTime(ms),QoS_type_EncryptedSize(KB),QoD_model,QoD_model_EncryptionTime(ms),QoD_model_EncryptedSize(KB),QoD_os-version,QoD_os-version_EncryptionTime(ms),QoD_os-version_EncryptedSize(KB),QoS_operator,QoS_operator_EncryptionTime(ms),QoS_operator_EncryptedSize(KB),MOS,MOS_EncryptionTime(ms),MOS_EncryptedSize(KB)
5,2.335,91.268,14,2.261,91.122,17,2.354,91.167,4,2.531,91.224,5,2.294,91.174
5,3.793,91.195,14,2.616,91.215,17,4.196,91.237,4,2.558,91.21,4,3.758,91.246
5,3.971,91.137,14,3.03,91.121,17,2.496,91.151,4,2.573,91.184,3,2.454,91.22
4,2.312,91.067,5,2.313,91.286,7,2.369,91.183,3,2.439,91.156,4,2.285,91.137
2,2.272,91.157,14,2.557,91.117,17,2.51,91.188,4,2.494,91.197,4,3.063,91.195
5,2.626,91.169,3,3.966,91.159,2,4.117,91.139,4,4.494,91.095,4,4.53,91.257
3,2.214,91.138,14,2.384,91.174,17,2.236,91.124,1,3.158,91.154,4,2.729,91.108
5,2.542,91.175,14,2.597,91.22,18,3.01,91.267,4,2.312,91.154,5,2.789,91.208
5,2.331,91.16,15,2.518,91.17,11,3.846,91.135,4,2.595,91.13,4,2.437,91.117
5,2.359,91.195,3,2.255,91.122,2,2.298,91.159,1,2.53,91.166,3,2.357,91.122
5,2.44,91.249,15,2.388,91.169,12,3.786,91.237,4,3.671,91.166,4,3.68,91.154
4,3.681,91.147,15,3.756,91.146,11,3.656,91.188,4,3.536,91.099,5,3.516,91.195
2,3.639,91.101,14,2.356,91.04,17,2.508,91.163,2,2.849,91.286,5,2.263,91.199
4,4.136,91.309,8,4.125,91.168,4,2.243,91.284,3,2.264,91.223,4,2.407,91.188
3,2.313,91.173,14,2.456,91.138,18,2.221,91.255,4,2.325,91.235,5,2.216,91.235
5,2.296,91.249,4,3.698,91.159,8,4.18,91.182,4,4.396,91.157,4,2.389,91.218
5,2.67,91.194,6,3.459,91.18,14,2.631,91.163,4,2.289,91.149,5,3.936,91.227
5,3.73,91.149,14,2.313,91.193,17,2.433,91.24,4,2.229,91.117,3,2.564,91.15
5,3.746,91.187,6,2.378,91.133,6,2.594,91.121,4,2.366,91.184,3,2.469,91.126
5,2.513,91.193,14,2.335,91.354,17,2.306,91.214,4,2.469,91.159,5,3.816,91.224
5,2.405,91.146,14,2.3,91.289,18,2.43,91.132,4,2.34,91.188,2,2.454,91.196
4,2.418,91.174,6,2.478,91.173,14,2.346,91.191,4,3.457,91.243,4,2.313,91.171
4,2.424,91.052,14,2.592,91.183,17,2.395,91.236,1,2.245,91.104,4,2.509,91.228
4,2.221,91.206,8,2.558,91.154,4,4.031,91.197,3,3.609,91.205,5,2.766,91.217
4,2.401,91.158,7,2.733,91.153,3,2.477,91.187,3,3.849,91.09,4,2.285,91.275
